b0,b1,b2,b3,budget,wsign,yield_,n
1,1,4,16,64,0.4594767893399865,0.6542207792207793,77
1,1,8,8,64,0.5147346102702348,0.6647727272727273,77
1,1,8,16,128,0.521764101733186,0.7094155844155844,77
1,1,16,4,64,0.539321332660611,0.6655844155844156,77
1,1,16,8,128,0.5584056128784817,0.7297077922077922,77
1,1,16,16,256,0.5663481806085406,0.7662337662337663,77
1,2,2,16,64,0.4899087413433141,0.6915584415584416,77
1,2,4,8,64,0.5105511304012738,0.7086038961038961,77
1,2,4,16,128,0.5423631299272138,0.765422077922078,77
1,2,8,4,64,0.5287286507796634,0.711038961038961,77
1,2,8,8,128,0.550922255834127,0.7751623376623377,77
1,2,8,16,256,0.5767041027179888,0.8060064935064936,77
1,2,16,2,64,0.5250643131866436,0.724025974025974,77
1,2,16,4,128,0.5505829127836382,0.7694805194805194,77
1,2,16,8,256,0.574359310748192,0.8189935064935064,77
1,4,1,16,64,0.26859369851321135,0.7094155844155844,76
1,4,2,8,64,0.45828842999027153,0.7386363636363636,77
1,4,2,16,128,0.5035517061909438,0.7938311688311688,77
1,4,4,4,64,0.4714628103998491,0.7459415584415584,77
1,4,4,8,128,0.5244710850204612,0.788961038961039,77
1,4,4,16,256,0.562487290206181,0.8344155844155844,77
1,4,8,2,64,0.4733362336934148,0.7540584415584416,77
1,4,8,4,128,0.5144387578498727,0.8084415584415584,77
1,4,8,8,256,0.5575588270516065,0.8449675324675324,77
1,4,16,1,64,0.4779691504533678,0.7467532467532467,77
1,4,16,2,128,0.5124405063428631,0.8068181818181818,77
1,4,16,4,256,0.5460467689988827,0.8441558441558441,77
1,8,1,8,64,0.26751884558899863,0.747564935064935,77
1,8,1,16,128,0.279627650711224,0.7946428571428571,77
1,8,2,4,64,0.401483806992232,0.7581168831168831,77
1,8,2,8,128,0.47717733860333383,0.8011363636363636,77
1,8,2,16,256,0.5125764518135166,0.8474025974025974,77
1,8,4,2,64,0.4140837548319673,0.7702922077922078,77
1,8,4,4,128,0.4754081298739302,0.8214285714285714,77
1,8,4,8,256,0.524224625464922,0.8538961038961039,77
1,8,8,1,64,0.422184704764175,0.7686688311688312,77
1,8,8,2,128,0.4764590335827317,0.8108766233766234,77
1,8,8,4,256,0.5168084217855984,0.8547077922077922,77
1,8,16,1,128,0.4707706992547274,0.8238636363636364,77
1,8,16,2,256,0.508542455035781,0.8571428571428571,77
1,16,1,4,64,0.24884283446915342,0.7662337662337663,77
1,16,1,8,128,0.27468506518689345,0.8303571428571429,77
1,16,1,16,256,0.28967505104036195,0.859577922077922,77
1,16,2,2,64,0.3272397518294423,0.7711038961038961,77
1,16,2,4,128,0.4017414246306218,0.8303571428571429,77
1,16,2,8,256,0.47407571266994325,0.8603896103896104,77
1,16,4,1,64,0.3454981237221823,0.7767857142857143,77
1,16,4,2,128,0.41464739172737003,0.8246753246753247,77
1,16,4,4,256,0.4701852449496234,0.8685064935064936,77
1,16,8,1,128,0.41378549046997004,0.8368506493506493,77
1,16,8,2,256,0.463893971170019,0.8579545454545454,77
1,16,16,1,256,0.4628254824434472,0.8717532467532467,77
2,1,2,16,64,0.5266416203914498,0.8271103896103896,77
2,1,4,8,64,0.5439301220745347,0.8376623376623377,77
2,1,4,16,128,0.564311513309154,0.8717532467532467,77
2,1,8,4,64,0.5514721388077269,0.8271103896103896,77
2,1,8,8,128,0.572481415230109,0.8806818181818182,77
2,1,8,16,256,0.589295174737046,0.9123376623376623,77
2,1,16,2,64,0.5422251723792099,0.8457792207792207,77
2,1,16,4,128,0.5679172011047452,0.8871753246753247,77
2,1,16,8,256,0.5847884919767892,0.9180194805194806,77
2,2,1,16,64,0.3869853631842846,0.8441558441558441,76
2,2,2,8,64,0.553356875040312,0.8522727272727273,77
2,2,2,16,128,0.5905538556646555,0.8920454545454546,77
2,2,4,4,64,0.5402036675146501,0.8636363636363636,77
2,2,4,8,128,0.5839893831196421,0.9050324675324676,77
2,2,4,16,256,0.6169402322356026,0.9326298701298701,77
2,2,8,2,64,0.5218749257394907,0.8701298701298701,77
2,2,8,4,128,0.565933391903827,0.9155844155844156,77
2,2,8,8,256,0.5967937457908677,0.9375,77
2,2,16,1,64,0.5142016004421777,0.8823051948051948,77
2,2,16,2,128,0.5419355520306541,0.911525974025974,77
2,2,16,4,256,0.5759621532421102,0.9448051948051948,77
2,4,1,8,64,0.3392504310988992,0.862012987012987,77
2,4,1,16,128,0.36346639777723155,0.913961038961039,77
2,4,2,4,64,0.45963462652150794,0.8806818181818182,77
2,4,2,8,128,0.531251150629693,0.913961038961039,77
2,4,2,16,256,0.581506734148591,0.9383116883116883,77
2,4,4,2,64,0.46197055278028043,0.8741883116883117,77
2,4,4,4,128,0.5211811619224466,0.922077922077922,77
2,4,4,8,256,0.58243546255526,0.9472402597402597,77
2,4,8,1,64,0.4529787707634436,0.8790584415584416,77
2,4,8,2,128,0.5064881605922978,0.9285714285714286,77
2,4,8,4,256,0.565561646512638,0.9512987012987013,77
2,4,16,1,128,0.5010675919075913,0.9285714285714286,77
2,4,16,2,256,0.5399840273056905,0.9561688311688312,77
2,8,1,4,64,0.3060324446757202,0.8709415584415584,77
2,8,1,8,128,0.325827254971582,0.9180194805194806,77
2,8,1,16,256,0.3503923761316135,0.9521103896103896,77
2,8,2,2,64,0.37501560802477424,0.8961038961038961,77
2,8,2,4,128,0.44961190864389705,0.9301948051948052,77
2,8,2,8,256,0.5214228353924661,0.9537337662337663,77
2,8,4,1,64,0.3763812462107488,0.898538961038961,77
2,8,4,2,128,0.4448938354470875,0.9383116883116883,77
2,8,4,4,256,0.5098343962714483,0.9594155844155844,77
2,8,8,1,128,0.4534803227153541,0.9277597402597403,77
2,8,8,2,256,0.5002449012026576,0.9577922077922078,77
2,8,16,1,256,0.4987060307476193,0.9545454545454546,77
2,16,1,2,64,0.2753462238916834,0.890422077922078,77
2,16,1,4,128,0.2902656797729646,0.9383116883116883,77
2,16,1,8,256,0.3198141620134517,0.9512987012987013,77
2,16,2,1,64,0.30835108960266466,0.8969155844155844,77
2,16,2,2,128,0.35370983226477276,0.9366883116883117,77
2,16,2,4,256,0.4380544362432626,0.9537337662337663,77
2,16,4,1,128,0.3672783181368261,0.9431818181818182,77
2,16,4,2,256,0.4357082712578212,0.9683441558441559,77
2,16,8,1,256,0.4357334826384483,0.9602272727272727,77
4,1,1,16,64,0.3619340464782718,0.9407467532467533,77
