prompt_idx,vroot,n_leaves
119,0.10241095491295797,13729
71,0.10399104320337198,15184
3,0.1063410791650256,2539
94,0.10780546712043035,9109
80,0.10889498062198695,10579
109,0.11359324316053614,16339
33,0.12021622949812642,16279
37,0.12488221621961179,15919
129,0.1278910127785405,9469
148,0.12826143115474037,15484
60,0.1307783761102175,14299
185,0.13754880089235919,14344
73,0.13800048828125,16384
163,0.1403588981597897,8749
112,0.14160828321656643,16129
18,0.14512646514497224,6484
69,0.1486829577911774,12604
198,0.15564786989570445,11314
131,0.15566780372605615,15244
125,0.15916595328360034,16354
147,0.16020096667514627,15724
106,0.1618054542802975,13714
104,0.16230748805098247,15064
170,0.1639170205815093,12244
187,0.16475972540045766,13984
118,0.16680986866331166,16294
26,0.16816778178075142,15544
171,0.1688232421875,16384
196,0.17190685033047132,16189
145,0.17388916015625,16384
68,0.17603264371107452,13969
66,0.1761061243943125,12589
135,0.18056517087293095,15889
181,0.18572998046875,16384
16,0.1865732442561512,12274
83,0.18740639041437843,16024
128,0.18812369101884932,16234
164,0.1923221325323822,10654
199,0.19404698140638152,13069
142,0.1987956709252177,12289
29,0.19941790445604174,9964
2,0.20095483384634713,15919
97,0.2127342851343122,14779
38,0.21707301546883953,15709
17,0.21780643561287122,16129
152,0.2318406744455984,16369
134,0.2343761185482139,13969
137,0.24487520370529206,11659
35,0.27563010135438154,11149
79,0.2776655755971864,14359
162,0.28147276628140355,14449
159,0.2816162109375,16384
5,0.2823486328125,16384
183,0.30117122141662017,14344
120,0.30969061938123876,16129
105,0.31743035667794844,15364
13,0.3179575534497611,12769
46,0.3208772359715756,16324
191,0.32151374419480355,15934
153,0.33306884765625,16384
197,0.33392820372022786,14569
143,0.3385933995514258,12484
10,0.33905068608232986,14284
99,0.3515004268172566,15229
45,0.3576822061720289,12184
63,0.3578827059075648,13999
101,0.3580485976638141,16009
62,0.3656912456472601,16369
34,0.3675432107068397,14869
166,0.3675728594020634,13279
130,0.3687674839558993,12154
114,0.379150390625,16384
72,0.3928913668438017,11479
116,0.41188551742414203,15094
117,0.42406132259321816,15394
189,0.46028625836967874,16279
139,0.48747776105104695,14614
50,0.4964006454015142,16114
22,0.5183788878416589,14854
85,0.52947998046875,16384
7,0.5531483981833804,16294
111,0.5631668470697386,12934
58,0.61407470703125,16384
